success,day,name,code,debug_attempts,debug_suggestions,n_retreived_puzzles,keywords,concepts,time
True,1,disable_retrieval,"""""""
Advent of Code Day 1: Historian Hysteria
Solution implementation based on the provided plan.

Usage: python3 solution.py [input_file]
""""""
from typing import List
import sys

def parse_input(input_file: str) -> tuple[List[int], List[int]]:
    """"""Parse the puzzle input from file into two lists of integers.

    Args:
        input_file: Path to the input file

    Returns:
        A tuple containing two lists of integers: the left list and the right list.
    """"""
    left_list: List[int] = []
    right_list: List[int] = []
    with open(input_file, 'r') as f:
        for line in f:
            left_val, right_val = line.strip().split()
            left_list.append(int(left_val))
            right_list.append(int(right_val))
    return left_list, right_list

def solve_part_one(left_list: List[int], right_list: List[int]) -> int:
    """"""Solve part one of the puzzle.

    Args:
        left_list: The list of integers on the left.
        right_list: The list of integers on the right.

    Returns:
        The total distance between the two lists.
    """"""
    # Sort the lists
    left_list.sort()
    right_list.sort()

    # Calculate pairwise distances
    distances: List[int] = []
    for i in range(len(left_list)):
        distances.append(abs(left_list[i] - right_list[i]))

    # Calculate total distance
    total_distance: int = sum(distances)

    return total_distance

def main():
    # Check command line arguments
    if len(sys.argv) < 2:
        print(""Usage: python3 solution.py [input_file]"")
        return

    input_file = sys.argv[1]

    # Parse input
    left_list, right_list = parse_input(input_file)

    # Solve part one
    part_one_solution = solve_part_one(left_list, right_list)
    # ONLY PRINT THE RESULT, NO OTHER TEXT
    print(part_one_solution)

if __name__ == ""__main__"":
    main()
",0,[],0,"list processing,distance calculation,sorting,absolute difference,summation","Sorting algorithm (to determine smallest to largest),Absolute value calculation,Summation of integers",25.493282794952393
True,2,disable_retrieval,"""""""
Advent of Code 2023 Day 2: Red-Nosed Reports
Solution implementation based on the provided plan.

Usage: python3 solution.py [input_file]
""""""
from typing import List
import sys

def parse_input(input_file: str) -> List[List[int]]:
    """"""Parse the puzzle input from file into a list of lists of integers.

    Args:
        input_file: Path to the input file

    Returns:
        A list of lists, where each inner list contains the integer levels for a single report.
    """"""
    reports: List[List[int]] = []
    with open(input_file, 'r') as f:
        for line in f:
            try:
                levels: List[int] = [int(level) for level in line.strip().split()]
                reports.append(levels)
            except ValueError:
                print(f""Skipping invalid report: {line.strip()}"", file=sys.stderr)
    return reports


def check_increasing_decreasing(report: List[int]) -> bool:
    """"""Determine if a given report is strictly increasing or strictly decreasing.

    Args:
        report: A list of integers representing a report's levels.

    Returns:
        True if the report is strictly increasing or strictly decreasing, False otherwise.
    """"""
    if len(report) <= 1:
        return True

    increasing = report[1] > report[0]

    for i in range(1, len(report)):
        if increasing:
            if report[i] <= report[i - 1]:
                return False
        else:
            if report[i] >= report[i - 1]:
                return False

    return True


def check_adjacent_level_difference(report: List[int]) -> bool:
    """"""Check if the difference between any two adjacent levels is within the valid range (1 to 3, inclusive).

    Args:
        report: A list of integers representing a report's levels.

    Returns:
        True if the absolute difference between all adjacent levels is between 1 and 3, False otherwise.
    """"""
    for i in range(1, len(report)):
        diff = abs(report[i] - report[i - 1])
        if diff < 1 or diff > 3:
            return False
    return True


def is_report_safe(report: List[int]) -> bool:
    """"""Determine if a report is safe.

    Args:
        report: A list of integers representing a report's levels.

    Returns:
        True if the report is safe, False otherwise.
    """"""
    return check_increasing_decreasing(report) and check_adjacent_level_difference(report)


def solve_part_one(reports: List[List[int]]) -> int:
    """"""Solve part one of the puzzle.

    Args:
        reports: A list of lists of integers (the parsed reports).

    Returns:
        An integer representing the total number of safe reports.
    """"""
    safe_reports_count = 0
    for report in reports:
        if is_report_safe(report):
            safe_reports_count += 1
    return safe_reports_count


def main():
    """"""Main function to execute the solution.""""""
    if len(sys.argv) < 2:
        print(""Usage: python3 solution.py [input_file]"")
        return

    input_file = sys.argv[1]
    reports = parse_input(input_file)
    part_one_solution = solve_part_one(reports)
    print(part_one_solution)

if __name__ == ""__main__"":
    main()
",0,[],0,"data analysis,report processing,numerical sequence,monotonicity,range check","sequence analysis,conditional logic,iteration",35.90513896942139
True,3,disable_retrieval,"""""""
Advent of Code 2023 Day 3: Mull It Over
Solution implementation based on the provided plan.

Usage: python3 solution.py [input_file]
""""""
from typing import List, Tuple
import sys
import re

def parse_input(input_file: str) -> str:
    """"""Parse the puzzle input from file into a string.

    Args:
        input_file: Path to the input file

    Returns:
        A string containing the corrupted memory.
    """"""
    try:
        with open(input_file, 'r') as f:
            return f.read().strip()
    except FileNotFoundError:
        print(f""Error: File not found: {input_file}"", file=sys.stderr)
        sys.exit(1)
    except Exception as e:
        print(f""Error reading file: {e}"", file=sys.stderr)
        sys.exit(1)


def solve_part_one(corrupted_memory: str) -> int:
    """"""Solve part one of the puzzle.

    Args:
        corrupted_memory: The corrupted memory string.

    Returns:
        The sum of the products of all valid mul(X,Y) instructions.
    """"""
    sum_of_multiplications = 0
    pattern = r""mul\((\d{1,3}),(\d{1,3})\)""
    matches: List[Tuple[str, str]] = re.findall(pattern, corrupted_memory)

    for match in matches:
        try:
            x = int(match[0])
            y = int(match[1])
            sum_of_multiplications += x * y
        except ValueError as e:
            print(f""Error converting string to integer: {e}"", file=sys.stderr)
            continue  # Skip to the next match

    return sum_of_multiplications


def main():
    # Check command line arguments
    if len(sys.argv) < 2:
        print(""Usage: python3 solution.py [input_file]"", file=sys.stderr)
        sys.exit(1)

    input_file = sys.argv[1]

    # Parse input
    corrupted_memory = parse_input(input_file)

    # Solve part one
    part_one_solution = solve_part_one(corrupted_memory)
    print(part_one_solution)


if __name__ == ""__main__"":
    main()
",0,[],0,"string parsing,pattern matching,arithmetic,multiplication,summation","regular expressions,string manipulation",30.025959730148315
True,4,disable_retrieval,"'''
Advent of Code 2023 Day 4: Ceres Search
Solution implementation based on the provided plan.

Usage: python3 solution.py [input_file]
'''
from typing import List
import sys

def parse_input(input_file: str) -> List[List[str]]:
    """"""Parse the puzzle input from file into a 2D grid of characters.

    Args:
        input_file: Path to the input file

    Returns:
        A list of lists representing the grid.
    """"""
    grid: List[List[str]] = []
    with open(input_file, 'r') as f:
        for line in f:
            grid.append(list(line.strip()))
    return grid


def check_horizontal(grid: List[List[str]], row: int, col: int, word: str) -> bool:
    """"""Check if the word ""XMAS"" exists horizontally starting from the given cell.
    """"""
    if col + len(word) > len(grid[0]):
        return False

    s = """".join(grid[row][col + i] for i in range(len(word)))
    return s == word


def check_horizontal_reverse(grid: List[List[str]], row: int, col: int, word: str) -> bool:
    """"""Check if the word ""XMAS"" exists horizontally in reverse starting from the given cell.
    """"""
    if col - len(word) + 1 < 0:
        return False

    s = """".join(grid[row][col - i] for i in range(len(word)))
    return s == word


def check_vertical(grid: List[List[str]], row: int, col: int, word: str) -> bool:
    """"""Check if the word ""XMAS"" exists vertically starting from the given cell.
    """"""
    if row + len(word) > len(grid):
        return False

    s = """".join(grid[row + i][col] for i in range(len(word)))
    return s == word


def check_vertical_reverse(grid: List[List[str]], row: int, col: int, word: str) -> bool:
    """"""Check if the word ""XMAS"" exists vertically in reverse starting from the given cell.
    """"""
    if row - len(word) + 1 < 0:
        return False

    s = """".join(grid[row - i][col] for i in range(len(word)))
    return s == word


def check_diagonal_forward(grid: List[List[str]], row: int, col: int, word: str) -> bool:
    """"""Check if the word ""XMAS"" exists diagonally (forward) starting from the given cell.
    """"""
    if row + len(word) > len(grid) or col + len(word) > len(grid[0]):
        return False

    s = """".join(grid[row + i][col + i] for i in range(len(word)))
    return s == word


def check_diagonal_forward_reverse(grid: List[List[str]], row: int, col: int, word: str) -> bool:
    """"""Check if the word ""XMAS"" exists diagonally (forward) in reverse starting from the given cell.
    """"""
    if row - len(word) + 1 < 0 or col - len(word) + 1 < 0:
        return False

    s = """".join(grid[row - i][col - i] for i in range(len(word)))
    return s == word


def check_diagonal_backward(grid: List[List[str]], row: int, col: int, word: str) -> bool:
    """"""Check if the word ""XMAS"" exists diagonally (backward) starting from the given cell.
    """"""
    if row + len(word) > len(grid) or col - len(word) + 1 < 0:
        return False

    s = """".join(grid[row + i][col - i] for i in range(len(word)))
    return s == word


def check_diagonal_backward_reverse(grid: List[List[str]], row: int, col: int, word: str) -> bool:
    """"""Check if the word ""XMAS"" exists diagonally (backward) in reverse starting from the given cell.
    """"""
    if row - len(word) + 1 < 0 or col + len(word) > len(grid[0]):
        return False

    s = """".join(grid[row - i][col + i] for i in range(len(word)))
    return s == word


def solve_part_one(grid: List[List[str]]) -> int:
    """"""Solve part one of the puzzle.

    Args:
        grid: Processed input data

    Returns:
        Solution for part one
    """"""
    word = ""XMAS""
    count = 0
    for row in range(len(grid)):
        for col in range(len(grid[0])):
            if check_horizontal(grid, row, col, word):
                count += 1
            if check_horizontal_reverse(grid, row, col, word):
                count += 1
            if check_vertical(grid, row, col, word):
                count += 1
            if check_vertical_reverse(grid, row, col, word):
                count += 1
            if check_diagonal_forward(grid, row, col, word):
                count += 1
            if check_diagonal_forward_reverse(grid, row, col, word):
                count += 1
            if check_diagonal_backward(grid, row, col, word):
                count += 1
            if check_diagonal_backward_reverse(grid, row, col, word):
                count += 1
    return count


def main():
    # Check command line arguments
    if len(sys.argv) < 2:
        print(""Usage: python3 solution.py [input_file]"")
        return

    input_file = sys.argv[1]

    # Parse input
    parsed_data = parse_input(input_file)

    # Solve part one
    part_one_solution = solve_part_one(parsed_data)
    # ONLY PRINT THE RESULT, NO OTHER TEXT
    print(part_one_solution)


if __name__ == ""__main__"":
    main()
",1,[],0,"string search,pattern matching,grid traversal","brute force,string manipulation",56.5016725063324
False,5,disable_retrieval,,6,"['The code splits the rules and updates sections using `\\n\\n`. However, the input uses only `\\n`.  Therefore, the split is incorrect, and `rules_str` contains the entire input while `updates_str` is empty. Update the code to split the rules and updates section by a single `\\n\\n`.', 'The code was incorrectly summing the middle element of the original `update` list instead of the `sorted_update` list after sorting. The `total_sum += update[middle_index]` line should be `total_sum += sorted_update[middle_index]`. When debugging, pay attention to which list the modifications are happening to and if the correct list is used later.']",0,"ordering,precedence rules,page numbers,updates,middle number,list validation","graph traversal (implicit),topological sort (validation),list processing",101.65526843070984
False,6,disable_retrieval,,6,[],0,"grid simulation,path finding,guard patrol,distinct positions,character grid","simulation,state tracking,coordinate manipulation,conditional logic",113.3294095993042
True,7,disable_retrieval,"""""""
Advent of Code 2023 Day 7: Bridge Repair
Solution implementation based on the provided plan.

Usage: python3 solution.py [input_file]
""""""
from typing import List, Tuple
import sys

def parse_input(input_file: str) -> List[Tuple[int, List[int]]]:
    """"""Parse the puzzle input from file into a list of tuples.

    Each tuple contains the target value (int) and the list of numbers (list of ints)
    for each equation.

    Args:
        input_file: Path to the input file

    Returns:
        A list of tuples representing the equations.
    """"""
    equations = []
    with open(input_file, 'r') as f:
        for line in f:
            line = line.strip()
            if not line:
                continue
            try:
                target, numbers_str = line.split(': ')
                target = int(target)
                numbers = [int(num) for num in numbers_str.split()]
                equations.append((target, numbers))
            except ValueError as e:
                print(f""Error parsing line: {line}.  Error: {e}"", file=sys.stderr)
                continue # Skip malformed lines
    return equations

def recursive_evaluation(target: int, numbers: List[int], index: int, current_value: int) -> bool:
    """"""Recursively evaluate the expression to check if it can reach the target value.

    Args:
        target: The target value.
        numbers: The list of numbers.
        index: The current index in the numbers list.
        current_value: The current evaluated value.

    Returns:
        True if the equation can be made true, False otherwise.
    """"""
    if index == len(numbers):
        return current_value == target

    return (recursive_evaluation(target, numbers, index + 1, current_value + numbers[index]) or
            recursive_evaluation(target, numbers, index + 1, current_value * numbers[index]))

def solve_part_one(equations: List[Tuple[int, List[int]]]) -> int:
    """"""Solve part one of the puzzle.

    Args:
        equations: A list of tuples, where each tuple contains the target value and the list of numbers.

    Returns:
        The sum of the target values of the equations that can be made true.
    """"""
    total_sum = 0
    for target, numbers in equations:
        if not numbers:
            continue # Skip equations with no numbers
        if len(numbers) == 1:
            if numbers[0] == target:
                total_sum += target
            continue
        if recursive_evaluation(target, numbers, 1, numbers[0]):
            total_sum += target

    return total_sum

def main():
    """"""Main function to solve the puzzle.
    """"""
    if len(sys.argv) < 2:
        print(""Usage: python3 solution.py [input_file]"", file=sys.stderr)
        return

    input_file = sys.argv[1]
    equations = parse_input(input_file)
    part_one_solution = solve_part_one(equations)
    print(part_one_solution)

if __name__ == ""__main__"":
    main()
",0,[],0,"arithmetic,expression evaluation,backtracking,operators","recursion,tree search",34.87596368789673
True,8,disable_retrieval,"""""""
Advent of Code 2023 Day 8: Resonant Collinearity
Solution implementation based on the provided plan.

Usage: python3 solution.py [input_file]
""""""
from typing import List, Tuple, Set
import sys

def parse_input(input_file: str) -> Tuple[List[Tuple[int, int, str]], int, int]:
    """"""Parse the puzzle input from file into antenna locations and grid dimensions.

    Args:
        input_file: Path to the input file

    Returns:
        A tuple containing:
        - A list of antenna tuples: [(row, col, frequency), ...]
        - The number of rows in the grid
        - The number of columns in the grid
    """"""
    antennas: List[Tuple[int, int, str]] = []
    with open(input_file, 'r') as f:
        grid = [line.strip() for line in f]

    grid_height = len(grid)
    grid_width = len(grid[0]) if grid_height > 0 else 0

    for row in range(grid_height):
        for col in range(grid_width):
            if grid[row][col] != '.':
                antennas.append((row, col, grid[row][col]))

    return antennas, grid_height, grid_width


def solve_part_one(antennas: List[Tuple[int, int, str]], grid_height: int, grid_width: int) -> int:
    """"""Solve part one of the puzzle.

    Args:
        antennas: List of antenna tuples.
        grid_height: The height of the grid.
        grid_width: The width of the grid.

    Returns:
        The number of unique antinode locations.
    """"""
    unique_antinodes: Set[Tuple[int, int]] = set()

    for i in range(len(antennas)):
        for j in range(i + 1, len(antennas)):
            if antennas[i][2] == antennas[j][2]:
                # Calculate antinode locations
                row1, col1, freq = antennas[i]
                row2, col2, _ = antennas[j]

                row_a1 = 2 * row1 - row2
                col_a1 = 2 * col1 - col2
                row_a2 = 2 * row2 - row1
                col_a2 = 2 * col2 - col1

                # Validate antinode locations and add to the set
                if 0 <= row_a1 < grid_height and 0 <= col_a1 < grid_width:
                    unique_antinodes.add((row_a1, col_a1))
                if 0 <= row_a2 < grid_height and 0 <= col_a2 < grid_width:
                    unique_antinodes.add((row_a2, col_a2))

    return len(unique_antinodes)


def main():
    # Check command line arguments
    if len(sys.argv) < 2:
        print(""Usage: python3 solution.py [input_file]"")
        return

    input_file = sys.argv[1]

    # Parse input
    antennas, grid_height, grid_width = parse_input(input_file)

    # Solve part one
    part_one_solution = solve_part_one(antennas, grid_height, grid_width)
    # ONLY PRINT THE RESULT, NO OTHER TEXT
    print(part_one_solution)


if __name__ == ""__main__"":
    main()
",0,[],0,"grid,geometry,collinearity,distance","coordinate geometry,distance calculation,line equation",99.22141909599304
False,9,disable_retrieval,,6,[],0,"string manipulation,disk defragmentation,checksum,array manipulation","parsing,simulation,arithmetic",142.69092893600464
True,10,disable_retrieval,"""""""
Advent of Code 2023 Day 10: Hoof It
Solution implementation based on the provided plan.

Usage: python3 solution.py [input_file]
""""""
from typing import List, Tuple, Set
import sys

def parse_input(input_file: str) -> List[List[int]]:
    """"""Parse the puzzle input from file into a list of lists of integers.

    Args:
        input_file: Path to the input file

    Returns:
        A list of lists representing the grid.
    """"""
    grid: List[List[int]] = []
    with open(input_file, 'r') as f:
        for line in f:
            row = [int(c) for c in line.strip()]
            grid.append(row)
    return grid


def identify_trailheads(grid: List[List[int]]) -> List[Tuple[int, int]]:
    """"""Identify the coordinates of all trailheads (height 0).

    Args:
        grid: The topographic map.

    Returns:
        A list of tuples, where each tuple is (row, col) of a trailhead.
    """"""
    trailheads: List[Tuple[int, int]] = []
    for r in range(len(grid)):
        for c in range(len(grid[0])):
            if grid[r][c] == 0:
                trailheads.append((r, c))
    return trailheads


def calculate_trailhead_score(grid: List[List[int]], trailhead: Tuple[int, int]) -> int:
    """"""Calculate the score for a single trailhead using Depth-First Search (DFS).

    Args:
        grid: The topographic map.
        trailhead: The coordinates (row, col) of the trailhead.

    Returns:
        The number of reachable '9's from the trailhead.
    """"""
    rows = len(grid)
    cols = len(grid[0])
    visited: Set[Tuple[int, int]] = set()
    trailhead_score = 0

    def dfs(row: int, col: int, prev_height: int):
        nonlocal trailhead_score
        if row < 0 or row >= rows or col < 0 or col >= cols or (row, col) in visited:
            return

        current_height = grid[row][col]
        if current_height != prev_height + 1:
            return

        visited.add((row, col))

        if current_height == 9:
            trailhead_score += 1
            return # Stop after reaching 9, as score is only incremented per 9 reached.

        # Explore adjacent positions
        dfs(row + 1, col, current_height)  # Down
        dfs(row - 1, col, current_height)  # Up
        dfs(row, col + 1, current_height)  # Right
        dfs(row, col - 1, current_height)  # Left

    dfs(trailhead[0], trailhead[1], -1)  # Start DFS with a previous height of -1 (since trailhead is 0)
    return trailhead_score


def solve_part_one(grid: List[List[int]]) -> int:
    """"""Solve part one of the puzzle by calculating the sum of all trailhead scores.

    Args:
        grid: The topographic map.

    Returns:
        The sum of the scores of all trailheads.
    """"""
    trailheads = identify_trailheads(grid)
    total_score = 0
    for trailhead in trailheads:
        total_score += calculate_trailhead_score(grid, trailhead)
    return total_score


def main():
    if len(sys.argv) < 2:
        print(""Usage: python3 solution.py [input_file]"")
        return

    input_file = sys.argv[1]
    grid = parse_input(input_file)
    part_one_solution = solve_part_one(grid)
    print(part_one_solution)

if __name__ == ""__main__"":
    main()
",0,[],0,"grid traversal,pathfinding,heightmap,reachability,trailhead","depth-first search,breadth-first search,graph traversal,recursion",45.84351968765259
