success,day,name,code,debug_attempts,debug_suggestions,n_retreived_puzzles,keywords,concepts,time
True,1,baseline,"""""""
Advent of Code 2023 Day 1: Historian Hysteria
Solution implementation based on the provided plan.

Usage: python3 solution.py [input_file]
""""""
from typing import List, Dict, Tuple, Set, Optional
import sys
from collections import defaultdict, deque
import re


def parse_input(input_file: str) -> Tuple[List[int], List[int]]:
    """"""Parse the puzzle input from file into two lists of integers.

    Args:
        input_file: Path to the input file

    Returns:
        A tuple containing two lists of integers (list1, list2).
    """"""
    list1: List[int] = []
    list2: List[int] = []
    with open(input_file, 'r') as f:
        lines = f.readlines()
        for line in lines:
            num1, num2 = map(int, line.split())
            list1.append(num1)
            list2.append(num2)
    return list1, list2


def solve_part_one(list1: List[int], list2: List[int]) -> int:
    """"""Solve part one of the puzzle.

    Args:
        list1: The first list of integers.
        list2: The second list of integers.

    Returns:
        The sum of the absolute differences between the paired numbers after sorting.
    """"""
    sorted_list1 = sorted(list1)
    sorted_list2 = sorted(list2)
    total_distance = 0
    for i in range(len(sorted_list1)):
        total_distance += abs(sorted_list1[i] - sorted_list2[i])
    return total_distance


def main():
    # Check command line arguments
    if len(sys.argv) < 2:
        print(""Usage: python3 solution.py [input_file]"")
        return

    input_file = sys.argv[1]

    # Parse input
    list1, list2 = parse_input(input_file)

    # Solve part one
    part_one_solution = solve_part_one(list1, list2)
    # ONLY PRINT THE RESULT, NO OTHER TEXT
    print(part_one_solution)


if __name__ == ""__main__"":
    main()
",3,"['The code in `parse_input` reads only one number from each line instead of two as given in the test input. `num1, num2 = map(int, lines[i].split())` only appends `num1` to the lists, which is incorrect. The code needs to be corrected to append both numbers from each line to appropriate lists. In the first loop, list1.append(num2) needs to be added, and in the second loop, list2.append(num2) needs to be added.']",3,"list processing,sorting,absolute difference,summation","sorting algorithms,list manipulation,mathematical operations",75.67273616790771
True,2,baseline,"""""""
Advent of Code 2023 Day 2: Red-Nosed Reports
Solution implementation based on the provided plan.

Usage: python3 solution.py [input_file]
""""""
from typing import List
import sys


def parse_input(input_file: str) -> List[List[int]]:
    """"""Parse the puzzle input from file into a list of reports, where each report is a list of integers.

    Args:
        input_file: Path to the input file

    Returns:
        A list of reports, where each report is a list of integers.
    """"""
    reports: List[List[int]] = []
    with open(input_file, 'r') as f:
        for line in f:
            try:
                levels = [int(level) for level in line.strip().split()]
                reports.append(levels)
            except ValueError:
                print(f""Warning: Skipping line due to invalid input: {line.strip()}"", file=sys.stderr)
            except Exception as e:
                print(f""An unexpected error occurred: {e}"", file=sys.stderr)
                sys.exit(1) # Exit if there is a critical error during parsing.

    return reports


def is_increasing(report: List[int]) -> bool:
    """"""Check if a given list of integers is strictly increasing with differences between 1 and 3.

    Args:
        report: A list of levels (integers) representing a report.

    Returns:
        True if the sequence is strictly increasing with differences between 1 and 3, False otherwise.
    """"""
    if len(report) < 2:
        return True  # A report with fewer than two levels is considered safe.

    for i in range(len(report) - 1):
        if report[i] >= report[i + 1] or not 1 <= abs(report[i + 1] - report[i]) <= 3:
            return False
    return True


def is_decreasing(report: List[int]) -> bool:
    """"""Check if a given list of integers is strictly decreasing with differences between 1 and 3.

    Args:
        report: A list of levels (integers) representing a report.

    Returns:
        True if the sequence is strictly decreasing with differences between 1 and 3, False otherwise.
    """"""
    if len(report) < 2:
        return True  # A report with fewer than two levels is considered safe.

    for i in range(len(report) - 1):
        if report[i] <= report[i + 1] or not 1 <= abs(report[i + 1] - report[i]) <= 3:
            return False
    return True


def is_safe(report: List[int]) -> bool:
    """"""Determine if a report is safe, by checking if it is either strictly increasing or strictly decreasing.

    Args:
        report: A list of levels representing a report.

    Returns:
        True if the report is safe, False otherwise.
    """"""
    return is_increasing(report) or is_decreasing(report)


def solve_part_one(reports: List[List[int]]) -> int:
    """"""Count the number of safe reports in the given list of reports.

    Args:
        reports: A list of reports.

    Returns:
        The total number of safe reports.
    """"""
    safe_reports_count = 0
    for report in reports:
        if is_safe(report):
            safe_reports_count += 1
    return safe_reports_count


def main():
    """"""Main function to solve the Advent of Code problem.

    Parses the input, solves part one, and prints the solution.
    """"""
    if len(sys.argv) < 2:
        print(""Usage: python3 solution.py [input_file]"", file=sys.stderr)
        return

    input_file = sys.argv[1]

    reports = parse_input(input_file)
    part_one_solution = solve_part_one(reports)

    print(part_one_solution)


if __name__ == ""__main__"":
    main()
",0,[],3,"data analysis,report validation,numerical sequence","sequence analysis,conditional logic,monotonicity check",58.49019193649292
True,3,baseline,"import re
import sys


def parse_input(input_file: str) -> str:
    """"""Parse the puzzle input from file into a string.

    Args:
        input_file: Path to the input file

    Returns:
        The input string.
    """"""
    try:
        with open(input_file, 'r') as f:
            return f.read().strip()
    except FileNotFoundError:
        print(f""Error: File not found: {input_file}"", file=sys.stderr)
        sys.exit(1)
    except Exception as e:
        print(f""Error reading file: {e}"", file=sys.stderr)
        sys.exit(1)


def solve_part_one(corrupted_memory: str) -> int:
    """"""Solve part one of the puzzle.

    Args:
        corrupted_memory: The corrupted memory string.

    Returns:
        Solution for part one (the sum of valid multiplications).
    """"""
    total_sum = 0
    pattern = r""mul\((\d{1,3}),(\d{1,3})\)""
    matches = re.finditer(pattern, corrupted_memory)

    for match in matches:
        try:
            x_str = match.group(1)
            y_str = match.group(2)
            x = int(x_str)
            y = int(y_str)

            if 1 <= x <= 999 and 1 <= y <= 999:
                total_sum += x * y
            else:
                pass
        except ValueError:
            pass  # Ignore if conversion to int fails
        except IndexError:
            pass  # Ignore if group doesn't exist

    return total_sum


def main():
    # Check command line arguments
    if len(sys.argv) < 2:
        print(""Usage: python3 solution.py [input_file]"", file=sys.stderr)
        return

    input_file = sys.argv[1]

    # Parse input
    corrupted_memory = parse_input(input_file)

    # Solve part one
    part_one_solution = solve_part_one(corrupted_memory)
    print(part_one_solution)


if __name__ == ""__main__"":
    main()
",1,[],1,"string parsing,pattern matching,arithmetic,data extraction","regular expressions,string manipulation",47.72589826583862
True,4,baseline,"""""""
Advent of Code 2023 Day 4: Ceres Search
Solution implementation based on the provided plan.

Usage: python3 solution.py [input_file]
""""""
from typing import List, Tuple
import sys

def parse_input(input_file: str) -> List[List[str]]:
    """"""Parse the puzzle input from file into a 2D list of characters.

    Args:
        input_file: Path to the input file

    Returns:
        A 2D list representing the grid of characters.
    """"""
    grid = []
    with open(input_file, 'r') as f:
        for line in f:
            grid.append(list(line.strip()))
    return grid


def search_direction(grid: List[List[str]], row: int, col: int, direction: Tuple[int, int], word: str) -> bool:
    """"""Search for the remaining characters of 'XMAS' in the specified direction.

    Args:
        grid: The grid of characters.
        row: Starting row index.
        col: Starting column index.
        direction: A tuple representing the row and column increment for each step.
        word: The target word (""XMAS"").

    Returns:
        True if the remaining characters of 'XMAS' are found in the specified direction, False otherwise.
    """"""
    delta_row, delta_col = direction
    for i in range(1, len(word)):
        new_row = row + i * delta_row
        new_col = col + i * delta_col

        if not (0 <= new_row < len(grid) and 0 <= new_col < len(grid[0])):
            return False  # Out of bounds

        if grid[new_row][new_col] != word[i]:
            return False  # Character mismatch

    return True  # Found ""MAS"" in the specified direction

def solve_part_one(grid: List[List[str]]) -> int:
    """"""Solve part one of the puzzle.

    Args:
        grid: The 2D list representing the grid of characters.

    Returns:
        The total number of occurrences of ""XMAS"" in the grid.
    """"""
    word = ""XMAS""
    count = 0
    rows = len(grid)
    cols = len(grid[0]) if rows > 0 else 0

    if rows == 0 or cols == 0:
        return 0  # Empty grid

    directions = [
        (0, 1),  # Right
        (0, -1), # Left
        (1, 0),  # Down
        (-1, 0), # Up
        (1, 1),  # Down-Right
        (-1, -1),# Up-Left
        (1, -1), # Down-Left
        (-1, 1)  # Up-Right
    ]

    for row in range(rows):
        for col in range(cols):
            if grid[row][col] == 'X':
                for direction in directions:
                    if search_direction(grid, row, col, direction, word):
                        count += 1

    return count


def main():
    """"""Main function to execute the solution.

    Parses the input, solves the puzzle, and prints the result.
    """"""
    if len(sys.argv) < 2:
        print(""Usage: python3 solution.py [input_file]"")
        return

    input_file = sys.argv[1]
    grid = parse_input(input_file)

    part_one_solution = solve_part_one(grid)
    print(part_one_solution)


if __name__ == ""__main__"":
    main()
",0,[],3,"string search,grid search,pattern matching,word search","string manipulation,grid traversal,pattern recognition",63.169833183288574
False,5,baseline,,6,"['The primary issue was in the `validate_update_sequence` function. The logic incorrectly checked for rule violations. Specifically, it checked if `page2 in rules and page1 in rules[page2]:` in reverse order, but the intended logic is to check if `page2` *should* be before `page1` based on the rules. Also the initial check was incorrect in that it should have returned False when page1 should be before page2 due to the ordering constraint. The condition was corrected to `if page1 in rules and page2 in rules[page1]: return False`. The reverse order rule check was also removed since that should not affect the validation.', ""The primary issue was within the `validate_update_sequence` function's logic. The original code incorrectly invalidated sequences. The logic has been corrected to accurately validate the sequence based on the provided rules. The median calculation was changed to integer division `//` to return an integer.\n\nSpecifically:\n1.  The validation logic in `validate_update_sequence` function was wrong. The error in logic was identified and corrected. Now it accurately validates the sequences.\n2. The return type of median was changed to int. Make sure to return sum of integers and not floats.\n3. The problem description requires the sum of integers. The validation logic and median calculation has been updated to return the correct answer. Make sure to read the problem description again.""]",3,"ordering,validation,median,rules,sequence,sorting","graph traversal (implicitly),topological sort (conceptually),rule-based validation",155.42191743850708
False,6,baseline,,6,"[""The original implementation got stuck in cycles and didn't fully explore the grid, leading to a lower than expected number of visited positions. To address this I've added a check for repeated states within the simulation loop. The `visited_states` set keeps track of the guard's row, column, and direction at each step. Before each iteration, the current state is checked against `visited_states`. If the state has been visited before, the loop breaks, preventing infinite loops. This ensures that the guard explores as much of the grid as possible before terminating. It is essential to track the direction in addition to row/col position as the same row/col can be visited multiple times if the guard is facing different directions."", ""The primary issue is that the guard gets stuck in a loop. To fix this:\n\n1.  Track Visited States: The `visited_states` set is used to store the guard's row, column, and direction at each step. Before moving the guard, check if the current state (row, col, direction) is already in `visited_states`. If it is, break the loop to prevent an infinite loop.\n2. Ensure correct bounds checking. The positions added to visited positions need to be within the bounds of the grid.\n""]",3,"grid simulation,pathfinding,state machine,guard patrol","simulation,coordinate manipulation,conditional logic",212.95014595985413
True,7,baseline,"""""""
Advent of Code 2023 Day 7: Bridge Repair
Solution implementation based on the provided plan.

Usage: python3 solution.py [input_file]
""""""
from typing import List, Tuple
import sys

def parse_input(input_file: str) -> List[Tuple[int, List[int]]]:
    """"""Parse the puzzle input from file into a list of tuples.

    Each tuple contains the target value and a list of numbers for an equation.

    Args:
        input_file: Path to the input file

    Returns:
        A list of tuples, where each tuple is (target_value, list_of_numbers).
    """"""
    equations = []
    with open(input_file, 'r') as f:
        for line in f:
            try:
                target, numbers_str = line.strip().split(': ')
                target = int(target)
                numbers = [int(num) for num in numbers_str.split()]
                equations.append((target, numbers))
            except ValueError:
                print(f""Skipping invalid line: {line.strip()}"", file=sys.stderr)
                continue
    return equations

def generate_operator_combinations(num_count: int) -> List[List[str]]:
    """"""Generate all possible combinations of '+' and '*' operators.

    Args:
        num_count: The number of numbers in the equation.

    Returns:
        A list of lists, where each inner list is a combination of operators.
    """"""
    if num_count <= 1:
        return []

    operators = ['+', '*']
    combinations = []

    def generate(index: int, current_combination: List[str]):
        if index == num_count - 1:
            combinations.append(current_combination.copy())
            return

        for operator in operators:
            current_combination.append(operator)
            generate(index + 1, current_combination)
            current_combination.pop()  # Backtrack

    generate(0, [])
    return combinations

def evaluate_expression(numbers: List[int], operators: List[str]) -> int:
    """"""Evaluate an expression from left to right without operator precedence.

    Args:
        numbers: A list of numbers.
        operators: A list of operators.

    Returns:
        The result of the evaluation.
    """"""
    result = numbers[0]
    for i in range(len(operators)):
        operator = operators[i]
        next_number = numbers[i + 1]
        if operator == '+':
            result += next_number
        elif operator == '*':
            result *= next_number
        else:
            raise ValueError(f""Invalid operator: {operator}"")
    return result

def solve_part_one(equations: List[Tuple[int, List[int]]]) -> int:
    """"""Solve part one of the puzzle.

    Args:
        equations: A list of tuples, where each tuple is (target_value, list_of_numbers).

    Returns:
        The sum of the target values of the valid equations.
    """"""
    total_sum = 0
    for target, numbers in equations:
        if not numbers:
            continue # Skip equations with no numbers.

        if len(numbers) == 1:
            if target == numbers[0]:
                total_sum += target
            continue

        operator_combinations = generate_operator_combinations(len(numbers))

        for operators in operator_combinations:
            result = evaluate_expression(numbers, operators)
            if result == target:
                total_sum += target
                break  # Move to the next equation once a valid combination is found

    return total_sum

def main():
    """"""Main function to run the solution.""""""
    if len(sys.argv) < 2:
        print(""Usage: python3 solution.py [input_file]"", file=sys.stderr)
        return

    input_file = sys.argv[1]

    equations = parse_input(input_file)
    part_one_solution = solve_part_one(equations)

    print(part_one_solution)

    # Example test cases
    test_input = ""190: 10 19\n3267: 81 40 27\n83: 17 5\n156: 15 6\n7290: 6 8 6 15\n161011: 16 10 13\n192: 17 8 14\n21037: 9 7 18 13\n292: 11 6 16 20""
    test_equations = parse_input(""test.txt"") # Create a test.txt file with the content of test_input

if __name__ == ""__main__"":
    main()
",0,[],3,"arithmetic,expression evaluation,combinatorial search","recursion,backtracking",73.3688051700592
True,8,baseline,"""""""
Advent of Code 2023 Day 8: Resonant Collinearity
Solution implementation based on the provided plan.

Usage: python3 solution.py [input_file]
""""""
from typing import List, Dict, Tuple, Set, Optional
import sys
from collections import defaultdict, deque
import re


def parse_input(input_file: str) -> Tuple[List[List[str]], Dict[str, List[Tuple[int, int]]]]:
    """"""Parse the puzzle input from file into grid and antenna locations.

    Args:
        input_file: Path to the input file

    Returns:
        A tuple containing:
        - grid: A list of lists of characters representing the grid.
        - antennas: A dictionary mapping frequencies to lists of (row, col) tuples.
    """"""
    grid: List[List[str]] = []
    antennas: Dict[str, List[Tuple[int, int]]] = defaultdict(list)
    with open(input_file, 'r') as f:
        for r, line in enumerate(f):
            row = list(line.strip())
            grid.append(row)
            for c, char in enumerate(row):
                if char != '.':
                    antennas[char].append((r, c))
    return grid, antennas


def solve_part_one(grid: List[List[str]], antennas: Dict[str, List[Tuple[int, int]]]) -> int:
    """"""Solve part one of the puzzle: count unique antinode locations.

    Args:
        grid: The grid representing antenna locations.
        antennas: A dictionary mapping frequencies to antenna locations.

    Returns:
        The number of unique antinode locations.
    """"""
    antinode_locations: Set[Tuple[int, int]] = set()
    rows = len(grid)
    cols = len(grid[0]) if rows > 0 else 0

    for frequency, locations in antennas.items():
        for i in range(len(locations)):
            for j in range(i + 1, len(locations)):
                antenna1_row, antenna1_col = locations[i]
                antenna2_row, antenna2_col = locations[j]

                # Calculate two possible antinode locations
                antinode1_row = 2 * antenna1_row - antenna2_row
                antinode1_col = 2 * antenna1_col - antenna2_col
                antinode2_row = 2 * antenna2_row - antenna1_row
                antinode2_col = 2 * antenna2_col - antenna1_col

                # Check if the antinode locations are within the grid bounds
                if 0 <= antinode1_row < rows and 0 <= antinode1_col < cols:
                    antinode_locations.add((antinode1_row, antinode1_col))
                if 0 <= antinode2_row < rows and 0 <= antinode2_col < cols:
                    antinode_locations.add((antinode2_row, antinode2_col))

    return len(antinode_locations)


def main():
    """"""Main function to parse input, solve the problem, and print the result.""""""
    # Check command line arguments
    if len(sys.argv) < 2:
        print(""Usage: python3 solution.py [input_file]"")
        return

    input_file = sys.argv[1]

    # Parse input
    grid, antennas = parse_input(input_file)

    # Solve part one
    part_one_solution = solve_part_one(grid, antennas)
    # ONLY PRINT THE RESULT, NO OTHER TEXT
    print(part_one_solution)

    # Test with examples (if available)
    # [Example testing code]

if __name__ == ""__main__"":
    main()
",0,[],3,"grid,geometry,collinearity,distance,antenna,antinode","geometry,distance calculation,coordinate geometry,line equation",116.28118753433228
False,9,baseline,,6,[],1,"disk compaction,checksum,string manipulation,file system","parsing,simulation,arithmetic",191.254634141922
True,10,baseline,"""""""
Advent of Code 2023 Day 10: Hoof It
Solution implementation based on the provided plan.

Usage: python3 solution.py [input_file]
""""""
from typing import List, Tuple
import sys
from collections import deque

def parse_input(input_file: str) -> List[List[int]]:
    """"""Parse the puzzle input from file into a 2D list of integers.

    Args:
        input_file: Path to the input file

    Returns:
        A 2D list of integers representing the elevation grid.
    """"""
    grid = []
    with open(input_file, 'r') as f:
        for line in f:
            row = [int(c) for c in line.strip()]
            grid.append(row)
    return grid

def identify_trailheads(grid: List[List[int]]) -> List[Tuple[int, int]]:
    """"""Identify all trailheads (locations with elevation 0) in the grid.

    Args:
        grid: A 2D list of integers representing the elevation grid.

    Returns:
        A list of tuples (row, col) representing the coordinates of all trailheads.
    """"""
    trailheads = []
    for row in range(len(grid)):
        for col in range(len(grid[0])):
            if grid[row][col] == 0:
                trailheads.append((row, col))
    return trailheads

def calculate_trailhead_score_bfs(grid: List[List[int]], start_row: int, start_col: int) -> int:
    """"""Calculate the score of a single trailhead using Breadth-First Search (BFS).

    Args:
        grid: A 2D list of integers representing the elevation grid.
        start_row: The row coordinate of the trailhead.
        start_col: The column coordinate of the trailhead.

    Returns:
        The number of reachable locations with elevation 9 from the trailhead.
    """"""
    rows = len(grid)
    cols = len(grid[0])
    visited = [[False for _ in range(cols)] for _ in range(rows)]
    visited[start_row][start_col] = True
    reachable_9s = 0
    queue = deque([(start_row, start_col)])

    while queue:
        row, col = queue.popleft()

        if grid[row][col] == 9:
            reachable_9s += 1

        # Explore neighbors (up, down, left, right)
        neighbors = [(row - 1, col), (row + 1, col), (row, col - 1), (row, col + 1)]

        for new_row, new_col in neighbors:
            # Check boundaries and elevation increase
            if 0 <= new_row < rows and 0 <= new_col < cols and not visited[new_row][new_col] and grid[new_row][new_col] == grid[row][col] + 1:
                visited[new_row][new_col] = True
                queue.append((new_row, new_col))

    return reachable_9s


def solve_part_one(grid: List[List[int]]) -> int:
    """"""Solve part one of the puzzle.

    Args:
        grid: A 2D list of integers representing the elevation grid.

    Returns:
        The sum of the scores of all trailheads in the grid.
    """"""
    trailheads = identify_trailheads(grid)
    total_score = 0
    for row, col in trailheads:
        total_score += calculate_trailhead_score_bfs(grid, row, col)
    return total_score


def main():
    """"""Main function to execute the solution.""""""
    if len(sys.argv) < 2:
        print(""Usage: python3 solution.py [input_file]"")
        return

    input_file = sys.argv[1]
    grid = parse_input(input_file)

    part_one_solution = solve_part_one(grid)
    print(part_one_solution)


if __name__ == ""__main__"":
    main()
",0,[],1,"grid traversal,pathfinding,elevation map,reachability","breadth-first search,depth-first search,graph traversal,recursion",67.29501056671143
