success,day,code,debug_attempts,debug_suggestions,n_retreived_puzzles,keywords,concepts,time,config_name
True,1,"""""""
Advent of Code 2023 Day 1 (Hypothetical): Historian Hysteria
Solution implementation based on the provided plan.

Usage: python3 solution.py [input_file]
""""""
from typing import List
import sys

def parse_input(input_file: str) -> tuple[List[int], List[int]]:
    """"""Parse the puzzle input from file into two lists of integers.

    Args:
        input_file: Path to the input file

    Returns:
        A tuple containing two lists: left_list and right_list.
    """"""
    left_list: List[int] = []
    right_list: List[int] = []
    with open(input_file, 'r') as f:
        for line in f:
            parts = line.strip().split()
            if len(parts) == 2:
                left_val = int(parts[0])
                right_val = int(parts[1])
                left_list.append(left_val)
                right_list.append(right_val)
            else:
                print(f""Warning: Skipping malformed line: {line.strip()}"", file=sys.stderr)
    return left_list, right_list

def solve_part_one(left_list: List[int], right_list: List[int]) -> int:
    """"""Solve part one of the puzzle.

    Args:
        left_list: The list of integers from the left column.
        right_list: The list of integers from the right column.

    Returns:
        The sum of the absolute differences between paired numbers.
    """"""
    left_list.sort()
    right_list.sort()
    total_distance = 0
    for i in range(len(left_list)):
        total_distance += abs(left_list[i] - right_list[i])
    return total_distance

def main():
    # Check command line arguments
    if len(sys.argv) < 2:
        print(""Usage: python3 solution.py [input_file]"")
        return

    input_file = sys.argv[1]

    # Parse input
    left_list, right_list = parse_input(input_file)

    # Solve part one
    part_one_solution = solve_part_one(left_list, right_list)
    # ONLY PRINT THE RESULT, NO OTHER TEXT
    print(part_one_solution)

if __name__ == ""__main__"":
    main()
",0,[],3,"list processing,absolute difference,sorting,integer arithmetic","sorting,absolute value,summation",66.82507181167603,planning_reasoning
True,2,"""""""
Advent of Code 2023 Day 2: Red-Nosed Reports
Solution implementation based on the provided plan.

Usage: python3 solution.py [input_file]
""""""
from typing import List
import sys


def parse_input(input_file: str) -> List[List[int]]:
    """"""Parse the puzzle input from file into a list of lists of integers.

    Args:
        input_file: Path to the input file

    Returns:
        A list of lists of integers, where each inner list is a report's levels.
    """"""
    reports = []
    with open(input_file, 'r') as f:
        for line in f:
            line = line.strip()
            if line:
                levels = [int(level) for level in line.split()]
                reports.append(levels)
    return reports


def is_safe(report_levels: List[int]) -> bool:
    """"""Check if a report is safe according to the specified rules.

    Args:
        report_levels: A list of integers representing a report's levels.

    Returns:
        True if the report is safe, False otherwise.
    """"""
    if len(report_levels) < 2:
        return True

    differences = [report_levels[i+1] - report_levels[i] for i in range(len(report_levels) - 1)]

    for diff in differences:
        if abs(diff) < 1 or abs(diff) > 3:
            return False

    all_increasing = all(d > 0 for d in differences)
    all_decreasing = all(d < 0 for d in differences)

    return all_increasing or all_decreasing


def solve_part_one(reports: List[List[int]]) -> int:
    """"""Solve part one of the puzzle.

    Args:
        reports: A list of lists of integers representing all reports.

    Returns:
        The number of safe reports.
    """"""
    safe_reports_count = 0
    for report in reports:
        if is_safe(report):
            safe_reports_count += 1
    return safe_reports_count


def main():
    # Check command line arguments
    if len(sys.argv) < 2:
        print(""Usage: python3 solution.py [input_file]"")
        return

    input_file = sys.argv[1]

    # Parse input
    parsed_data = parse_input(input_file)

    # Solve part one
    part_one_solution = solve_part_one(parsed_data)

    # ONLY PRINT THE RESULT, NO OTHER TEXT
    print(part_one_solution)


if __name__ == ""__main__"":
    main()
",0,[],2,"data analysis,report processing,sequence analysis,monotonicity,difference check","parsing,conditional logic,iteration,monotonic sequence",91.4928674697876,planning_reasoning
True,3,"""""""
Advent of Code 2023 Day 3: Mull It Over
Solution implementation based on the provided plan.

Usage: python3 solution.py [input_file]
""""""
import re
import sys


def parse_input(input_file: str) -> str:
    """"""Parse the puzzle input from file into a string.

    Args:
        input_file: Path to the input file

    Returns:
        A string containing the puzzle input.
    """"""
    try:
        with open(input_file, 'r') as f:
            return f.read().strip()
    except FileNotFoundError:
        print(f""Error: File not found: {input_file}"", file=sys.stderr)
        sys.exit(1)
    except Exception as e:
        print(f""Error reading file: {e}"", file=sys.stderr)
        sys.exit(1)


def solve_part_one(corrupted_memory: str) -> int:
    """"""Solve part one of the puzzle.

    Args:
        corrupted_memory: The corrupted memory string.

    Returns:
        The sum of the products of valid mul instructions.
    """"""

    pattern = r""mul\((\d{1,3}),(\d{1,3})\)""
    total_sum = 0

    for match in re.finditer(pattern, corrupted_memory):
        try:
            x_str = match.group(1)
            y_str = match.group(2)
            x = int(x_str)
            y = int(y_str)
            product = x * y
            total_sum += product
        except ValueError as e:
            print(f""Error converting string to integer: {e}"", file=sys.stderr)
            continue  # Skip to the next match
        except Exception as e:
            print(f""An unexpected error occurred: {e}"", file=sys.stderr)
            continue # skip to the next match

    return total_sum


def main():
    """"""Main function to execute the script.""""""
    if len(sys.argv) < 2:
        print(""Usage: python3 solution.py [input_file]"", file=sys.stderr)
        sys.exit(1)

    input_file = sys.argv[1]
    corrupted_memory = parse_input(input_file)

    part_one_solution = solve_part_one(corrupted_memory)
    print(part_one_solution)


if __name__ == ""__main__"":
    main()
",0,[],1,"string parsing,pattern matching,arithmetic,multiplication","regular expressions,string manipulation",82.02858138084412,planning_reasoning
True,4,"""""""
Advent of Code 2023 Day 4: Ceres Search
Solution implementation based on the provided plan.

Usage: python3 solution.py [input_file]
""""""
from typing import List, Tuple
import sys

def parse_input(input_file: str) -> List[List[str]]:
    """"""Parse the puzzle input from file into a 2D grid of characters.

    Args:
        input_file: Path to the input file

    Returns:
        A list of lists of characters representing the grid.
    """"""
    grid: List[List[str]] = []
    with open(input_file, 'r') as f:
        for line in f:
            grid.append(list(line.strip()))
    return grid

def solve_part_one(grid: List[List[str]]) -> int:
    """"""Solve part one of the puzzle by counting occurrences of ""XMAS"" in the grid.

    Args:
        grid: The 2D grid of characters.

    Returns:
        The total number of occurrences of ""XMAS"" in the grid.
    """"""
    count = 0
    directions: List[Tuple[int, int]] = [(0, 1), (0, -1), (1, 0), (-1, 0), (1, 1), (1, -1), (-1, 1), (-1, -1)]
    rows = len(grid)
    cols = len(grid[0]) if rows > 0 else 0

    for r in range(rows):
        for c in range(cols):
            for dr, dc in directions:
                # Check if ""XMAS"" can be formed starting from (r, c) in direction (dr, dc)
                end_r = r + 3 * dr
                end_c = c + 3 * dc

                if 0 <= end_r < rows and 0 <= end_c < cols:
                    word = """".join([grid[r + i * dr][c + i * dc] for i in range(4)])
                    if word == ""XMAS"":
                        count += 1

    return count

def main():
    """"""Main function to execute the solution.""""""
    # Check command line arguments
    if len(sys.argv) < 2:
        print(""Usage: python3 solution.py [input_file]"")
        return

    input_file = sys.argv[1]

    # Parse input
    parsed_data = parse_input(input_file)

    # Solve part one
    part_one_solution = solve_part_one(parsed_data)
    print(part_one_solution)

if __name__ == ""__main__"":
    main()
",0,[],3,"string search,pattern matching,grid traversal,word search","string manipulation,brute force",84.63541102409363,planning_reasoning
True,5,"""""""
Advent of Code 2023 Day 5: Print Queue
Solution implementation based on the provided plan.

Usage: python3 solution.py [input_file]
""""""
from typing import List, Tuple, Set, Dict
import sys

def parse_input(input_file: str) -> Tuple[Set[Tuple[int, int]], List[List[int]]]:
    """"""Parse the puzzle input from file into rules and updates.

    Args:
        input_file: Path to the input file

    Returns:
        A tuple containing:
        - A set of rule tuples (int, int)
        - A list of update lists (list of int)
    """"""
    with open(input_file, 'r') as f:
        data = f.read().strip()

    rules_str, updates_str = data.split('\n\n')

    rules: Set[Tuple[int, int]] = set()
    for line in rules_str.splitlines():
        before, after = map(int, line.split('|'))
        rules.add((before, after))

    updates: List[List[int]] = []
    for line in updates_str.splitlines():
        update = list(map(int, line.split(',')))
        updates.append(update)

    return rules, updates


def solve_part_one(rules: Set[Tuple[int, int]], updates: List[List[int]]) -> int:
    """"""Solve part one of the puzzle.

    Args:
        rules: Set of ordering rules.
        updates: List of page number updates.

    Returns:
        Sum of the middle page numbers of correctly-ordered updates.
    """"""
    total_middle_sum = 0

    for current_update in updates:
        if len(current_update) < 1:
            continue # Skip validation for empty updates

        is_valid = True
        page_to_index: Dict[int, int] = {page: i for i, page in enumerate(current_update)}

        for before, after in rules:
            if before in page_to_index and after in page_to_index:
                index_before = page_to_index[before]
                index_after = page_to_index[after]
                if index_before > index_after:
                    is_valid = False
                    break

        if is_valid:
            middle_index = len(current_update) // 2
            middle_page = current_update[middle_index]
            total_middle_sum += middle_page

    return total_middle_sum


def main():
    """"""Main entry point of the program.""""""
    if len(sys.argv) < 2:
        print(""Usage: python3 solution.py [input_file]"")
        return

    input_file = sys.argv[1]

    # Parse input
    rules, updates = parse_input(input_file)

    # Solve part one
    part_one_solution = solve_part_one(rules, updates)
    print(part_one_solution)

if __name__ == ""__main__"":
    main()
",0,[],3,"ordering,validation,summation,page numbers","graph traversal,topological sort,rule checking",116.77126574516296,planning_reasoning
True,6,"""""""
Advent of Code 2023 Day 6: Guard Gallivant
Solution implementation based on the provided plan.

Usage: python3 solution.py [input_file]
""""""
from typing import List, Tuple, Set
import sys

def parse_input(input_file: str) -> Tuple[List[List[str]], Tuple[int, int], int]:
    """"""Parse the puzzle input from file into appropriate data structures.

    Args:
        input_file: Path to the input file

    Returns:
        A tuple containing:
        - grid: A 2D list of strings representing the grid.
        - start_pos: A tuple (row, col) representing the guard's starting position.
        - start_direction: An integer representing the guard's starting direction (0: Up, 1: Right, 2: Down, 3: Left).
    """"""
    grid: List[List[str]] = []
    start_pos: Tuple[int, int] = (-1, -1)
    start_direction: int = -1

    with open(input_file, 'r') as f:
        for r, line in enumerate(f):
            row = list(line.strip())
            for c, cell in enumerate(row):
                if cell in ['^', '>', 'v', '<']:
                    start_pos = (r, c)
                    if cell == '^':
                        start_direction = 0
                    elif cell == '>':
                        start_direction = 1
                    elif cell == 'v':
                        start_direction = 2
                    elif cell == '<':
                        start_direction = 3
                    row[c] = '.'  # Replace guard with '.'
                    break
            grid.append(row)

    return grid, start_pos, start_direction


def solve_part_one(grid: List[List[str]], start_pos: Tuple[int, int], start_direction: int) -> int:
    """"""Solve part one of the puzzle.

    Args:
        grid: A 2D list of strings representing the grid.
        start_pos: A tuple (row, col) representing the guard's starting position.
        start_direction: An integer representing the guard's starting direction (0: Up, 1: Right, 2: Down, 3: Left).

    Returns:
        The number of distinct positions visited by the guard before leaving the grid.
    """"""
    num_rows = len(grid)
    num_cols = len(grid[0])
    current_pos = start_pos
    current_direction = start_direction
    visited_positions: Set[Tuple[int, int]] = {start_pos}
    direction_vectors = [(-1, 0), (0, 1), (1, 0), (0, -1)]  # Up, Right, Down, Left

    while True:
        dr, dc = direction_vectors[current_direction]
        next_row = current_pos[0] + dr
        next_col = current_pos[1] + dc

        if not (0 <= next_row < num_rows and 0 <= next_col < num_cols):
            break  # Guard is out of bounds

        if grid[next_row][next_col] == '#':
            current_direction = (current_direction + 1) % 4  # Turn right
        else:
            current_pos = (next_row, next_col)
            visited_positions.add(current_pos)

    return len(visited_positions)


def main():
    # Check command line arguments
    if len(sys.argv) < 2:
        print(""Usage: python3 solution.py [input_file]"")
        return

    input_file = sys.argv[1]

    # Parse input
    grid, start_pos, start_direction = parse_input(input_file)

    # Solve part one
    part_one_solution = solve_part_one(grid, start_pos, start_direction)
    # ONLY PRINT THE RESULT, NO OTHER TEXT
    print(part_one_solution)


if __name__ == ""__main__"":
    main()
",0,[],3,"grid simulation,pathfinding,agent simulation","simulation,state machine",146.56590604782104,planning_reasoning
True,7,"""""""
Advent of Code 2023 Day 7: Bridge Repair
Solution implementation based on the provided plan.

Usage: python3 solution.py [input_file]
""""""
from typing import List, Tuple
import sys

def parse_input(input_file: str) -> List[Tuple[int, List[int]]]:
    """"""Parse the puzzle input from file into a list of (target, numbers) tuples.

    Args:
        input_file: Path to the input file

    Returns:
        A list of tuples, where each tuple contains (target_value: int, numbers: list[int]).
    """"""
    equations = []
    with open(input_file, 'r') as f:
        for line in f:
            line = line.strip()
            if not line:
                continue

            parts = line.split(':')
            if len(parts) != 2:
                continue

            target_str, numbers_str = parts[0].strip(), parts[1].strip()
            try:
                target = int(target_str)
                numbers = [int(x) for x in numbers_str.split()]
                equations.append((target, numbers))
            except ValueError:
                continue

    return equations


def solve(current_value: int, num_index: int, numbers: List[int], target: int) -> bool:
    """"""Recursively solve the equation by trying all combinations of operators.

    Args:
        current_value: The result of the evaluation up to the previous number.
        num_index: The index of the next number to process in the numbers list.
        numbers: The list of numbers for the current equation.
        target: The target value for the current equation.

    Returns:
        True if the target value can be reached from this state, False otherwise.
    """"""
    if num_index == len(numbers):
        return current_value == target

    next_number = numbers[num_index]

    # Try addition
    if solve(current_value + next_number, num_index + 1, numbers, target):
        return True

    # Try multiplication
    if solve(current_value * next_number, num_index + 1, numbers, target):
        return True

    return False


def solve_part_one(equations: List[Tuple[int, List[int]]]) -> int:
    """"""Solve part one of the puzzle.

    Args:
        equations: A list of (target, numbers) tuples.

    Returns:
        The sum of the target values of the solvable equations.
    """"""
    total_sum = 0
    for target, numbers in equations:
        if len(numbers) < 1:
            continue  # Or raise an exception, depending on desired behavior

        is_solvable = solve(numbers[0], 1, numbers, target)
        if is_solvable:
            total_sum += target

    return total_sum


def main():
    # Check command line arguments
    if len(sys.argv) < 2:
        print(""Usage: python3 solution.py [input_file]"")
        return

    input_file = sys.argv[1]

    # Parse input
    equations = parse_input(input_file)

    # Solve part one
    part_one_solution = solve_part_one(equations)
    # ONLY PRINT THE RESULT, NO OTHER TEXT
    print(part_one_solution)

if __name__ == ""__main__"":
    main()
",0,[],3,"arithmetic,expression evaluation,operator insertion,summation","recursion,brute force,backtracking",105.10388374328613,planning_reasoning
True,8,"""""""
Advent of Code 2023 Day 8: Resonant Collinearity
Solution implementation based on the provided plan.

Usage: python3 solution.py [input_file]
""""""
from typing import List, Dict, Tuple, Set
import sys
from collections import defaultdict

def parse_input(input_file: str) -> Tuple[List[List[str]], int, int, Dict[str, List[Tuple[int, int]]]]:
    """"""Parse the puzzle input from file into appropriate data structures.

    Args:
        input_file: Path to the input file

    Returns:
        A tuple containing:
        - grid: A list of lists of characters representing the input map.
        - width: The width of the grid.
        - height: The height of the grid.
        - antennas_by_frequency: A dictionary mapping frequency characters to lists of (x, y) tuples.
    """"""
    grid: List[List[str]] = []
    antennas_by_frequency: Dict[str, List[Tuple[int, int]]] = defaultdict(list)

    with open(input_file, 'r') as f:
        for y, line in enumerate(f):
            row: List[str] = list(line.strip())
            grid.append(row)
            for x, char in enumerate(row):
                if char != '.':
                    antennas_by_frequency[char].append((x, y))

    height: int = len(grid)
    width: int = len(grid[0]) if height > 0 else 0

    return grid, width, height, antennas_by_frequency


def solve_part_one(grid: List[List[str]], width: int, height: int, antennas_by_frequency: Dict[str, List[Tuple[int, int]]]) -> int:
    """"""Solve part one of the puzzle.

    Args:
        grid: The grid representation.
        width: The width of the grid.
        height: The height of the grid.
        antennas_by_frequency: Antenna locations grouped by frequency.

    Returns:
        The number of unique locations that contain an antinode.
    """"""
    antinode_locations: Set[Tuple[int, int]] = set()

    for frequency, antenna_list in antennas_by_frequency.items():
        if len(antenna_list) < 2:
            continue

        for i in range(len(antenna_list)):
            for j in range(i + 1, len(antenna_list)):
                xa, ya = antenna_list[i]
                xb, yb = antenna_list[j]

                # Calculate potential antinode locations
                cx1, cy1 = 2 * xb - xa, 2 * yb - ya
                cx2, cy2 = 2 * xa - xb, 2 * ya - yb

                # Validate and store unique antinode locations
                if 0 <= cx1 < width and 0 <= cy1 < height:
                    antinode_locations.add((cx1, cy1))
                if 0 <= cx2 < width and 0 <= cy2 < height:
                    antinode_locations.add((cx2, cy2))

    return len(antinode_locations)


def main():
    # Check command line arguments
    if len(sys.argv) < 2:
        print(""Usage: python3 solution.py [input_file]"")
        return

    input_file = sys.argv[1]

    # Parse input
    grid, width, height, antennas_by_frequency = parse_input(input_file)

    # Solve part one
    part_one_solution = solve_part_one(grid, width, height, antennas_by_frequency)
    # ONLY PRINT THE RESULT, NO OTHER TEXT
    print(part_one_solution)

if __name__ == ""__main__"":
    main()
",0,[],2,"grid,geometry,collinearity,distance,antenna,antinode","geometry calculations,distance calculation,collinearity check",197.56797456741333,planning_reasoning
False,9,,6,[],2,"string manipulation,disk compaction,checksum,simulation","string parsing,array manipulation,simulation,checksum calculation",305.21329855918884,planning_reasoning
True,10,"""""""
Advent of Code 2023 Day 10: Hoof It
Solution implementation based on the provided plan.

Usage: python3 solution.py [input_file]
""""""
from typing import List, Tuple, Set
import sys
from collections import deque

def parse_input(input_file: str) -> List[List[int]]:
    """"""Parse the puzzle input from file into a 2D list of integers.

    Args:
        input_file: Path to the input file

    Returns:
        A 2D list representing the topographic map.
    """"""
    grid = []
    with open(input_file, 'r') as f:
        for line in f:
            grid.append([int(c) for c in line.strip()])
    return grid

def identify_trailheads(grid: List[List[int]]) -> List[Tuple[int, int]]:
    """"""Identify all trailhead locations (height 0) in the grid.

    Args:
        grid: The 2D list representing the topographic map.

    Returns:
        A list of (row, col) tuples representing trailhead coordinates.
    """"""
    trailheads = []
    for r in range(len(grid)):
        for c in range(len(grid[0])):
            if grid[r][c] == 0:
                trailheads.append((r, c))
    return trailheads

def solve(grid: List[List[int]]) -> int:
    """"""Calculates the sum of scores for all trailheads.

    Args:
        grid: The 2D list representing the topographic map.

    Returns:
        The sum of the scores of all trailheads.
    """"""
    trailheads = identify_trailheads(grid)
    total_score = 0

    rows = len(grid)
    cols = len(grid[0]) if rows > 0 else 0

    for start_node in trailheads:
        reachable_nines: Set[Tuple[int, int]] = set()
        queue: deque[Tuple[int, int]] = deque([start_node])
        visited: Set[Tuple[int, int]] = {start_node}

        while queue:
            curr_r, curr_c = queue.popleft()
            current_height = grid[curr_r][curr_c]

            if current_height == 9:
                reachable_nines.add((curr_r, curr_c))

            dr = [-1, 1, 0, 0]  # up, down, left, right
            dc = [0, 0, -1, 1]

            for i in range(4):
                next_r = curr_r + dr[i]
                next_c = curr_c + dc[i]

                if 0 <= next_r < rows and 0 <= next_c < cols:
                    next_height = grid[next_r][next_c]
                    if next_height == current_height + 1 and (next_r, next_c) not in visited:
                        visited.add((next_r, next_c))
                        queue.append((next_r, next_c))

        total_score += len(reachable_nines)

    return total_score

def main():
    """"""Main function to execute the solution.

    Parses the input file, solves the problem, and prints the result.
    """"""
    if len(sys.argv) < 2:
        print(""Usage: python3 solution.py [input_file]"")
        return

    input_file = sys.argv[1]
    grid = parse_input(input_file)
    solution = solve(grid)
    print(solution)

if __name__ == ""__main__"":
    main()
",0,[],2,"grid traversal,pathfinding,heightmap,topographic map","depth-first search,breadth-first search,graph traversal",121.43014025688171,planning_reasoning
